,Company,TypeName,Inches,Ram,OpSys,Weight (kg),Price_euros,Brand,Resolution,Pixel Width,Pixel Height,Total Pixels,Pixel Density,IPS Panel,Touchscreen,Cpu Clock Speed (GHz),Cpu Brand,Simple Cpu Brand,Cpu Company,Memory Type,HDD Memory (GB),Hybrid Memory (GB),Flash Memory (GB),SSD Memory (GB),Total Memory (GB),Gpu Brand,Simple Gpu Brand,Gpu Company,Simple OpSys
1249,Dell,2 in 1 Convertible,13.3,8GB,Windows 10,1.24,1813.0,XPS,3200 x 1800,3200,1800,5760000,276.053530085501,False,True,1.2,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1186,Dell,2 in 1 Convertible,15.6,16GB,Windows 10,2.09,1179.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,True,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Intel HD Graphics,Intel HD,Intel,Windows
568,Lenovo,Notebook,15.6,4GB,Windows 10,2.2,344.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,1.1,Intel Pentium Quad Core,Intel Other,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
1251,HP,Notebook,15.6,4GB,Windows 10,1.86,399.0,255,1366 x 768,1366,768,1049088,100.45466986113651,False,False,2.5,AMD A6-Series,AMD,AMD,HDD,500,0,0,0,500,AMD Radeon R4,AMD Radeon,AMD,Windows
491,Toshiba,Ultrabook,13.3,32GB,Windows 10,1.05,2799.0,PORTEGE,1920 x 1080,1920,1080,2073600,165.6321180513006,False,True,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Intel HD Graphics,Intel HD,Intel,Windows
299,Asus,Ultrabook,15.6,16GB,Windows 10,1.63,1468.0,ZENBOOK,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
268,HP,Notebook,17.3,8GB,Windows 10,2.5,1018.0,PROBOOK,1920 x 1080,1920,1080,2073600,127.33567457123111,False,False,1.8,Intel Core i7,Intel Higher,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
1113,HP,Ultrabook,13.3,8GB,Windows 10,1.16,1969.0,SPECTRE,1920 x 1080,1920,1080,2073600,165.6321180513006,False,False,2.5,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Intel HD Graphics,Intel HD,Intel,Windows
982,Lenovo,Notebook,15.6,6GB,Windows 10,2.2,549.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,3.6,AMD A12-Series,AMD,AMD,SSD,0,0,0,256,256,AMD Radeon,AMD Radeon,AMD,Windows
1191,Samsung,2 in 1 Convertible,12.3,4GB,Chrome OS,1.15,659.0,CHROMEBOOK,2400 x 1600,2400,1600,3840000,234.50740003017813,True,True,2.0,Samsung Cortex,Samsung Cortex,Samsung,Flash,0,0,32,0,32,ARM Mali,ARM Mali,ARM,Other
310,Lenovo,Notebook,13.3,8GB,Windows 10,1.1,999.0,IDEAPAD,1920 x 1080,1920,1080,2073600,165.6321180513006,True,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
195,HP,Notebook,17.3,8GB,Windows 10,2.5,914.0,PROBOOK,1920 x 1080,1920,1080,2073600,127.33567457123111,True,False,1.6,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
646,Acer,Ultrabook,14.0,8GB,Windows 10,1.8,919.0,SWIFT,1920 x 1080,1920,1080,2073600,157.3505121487356,True,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
440,Lenovo,Notebook,17.3,8GB,Windows 10,2.8,519.0,IDEAPAD,1600 x 900,1600,900,1440000,106.11306214269258,False,False,2.5,AMD A6-Series,AMD,AMD,HDD,1000,0,0,0,1000,AMD Radeon R4,AMD Radeon,AMD,Windows
70,Microsoft,Ultrabook,13.5,4GB,Windows 10 S,1.252,1089.0,SURFACE,2256 x 1504,2256,1504,3393024,200.84255993695703,False,True,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,128,128,Intel HD Graphics,Intel HD,Intel,Windows
839,Asus,Notebook,15.6,8GB,Windows 10,2.3,590.0,ASUS R,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,128,0,0,0,128,Intel HD Graphics,Intel HD,Intel,Windows
10,HP,Notebook,15.6,4GB,No OS,1.86,393.9,250,1366 x 768,1366,768,1049088,100.45466986113651,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,No OS
1010,Dell,Gaming,15.6,8GB,Windows 10,2.65,949.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
656,Dell,Notebook,15.6,8GB,Windows 10,2.2,919.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,1.8,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,AMD Radeon,AMD Radeon,AMD,Windows
805,HP,Netbook,12.5,8GB,Windows 10,1.26,1389.0,ELITEBOOK,1366 x 768,1366,768,1049088,125.36742798669837,False,False,2.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1069,Apple,Ultrabook,12.0,8GB,Mac OS X,0.92,1300.0,MACBOOK,2304 x 1440,2304,1440,3317760,226.41554716935852,True,False,1.1,Intel Core M,Intel Higher,Intel,Flash,0,0,256,0,256,Intel HD Graphics,Intel HD,Intel,Mac
958,Dell,Ultrabook,13.3,8GB,Windows 10,1.3,1268.0,XPS,3200 x 1800,3200,1800,5760000,276.053530085501,False,False,2.5,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
64,HP,Notebook,15.6,8GB,Windows 10,1.86,690.0,250,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
467,Dell,Notebook,15.6,8GB,Windows 10,2.02,759.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,1.6,Intel Core i5,Intel Core i5,Intel,HDD,2000,0,0,0,2000,AMD Radeon,AMD Radeon,AMD,Windows
592,Dell,2 in 1 Convertible,11.6,4GB,Windows 10,1.39,603.0,INSPIRON,1366 x 768,1366,768,1049088,135.0942111925629,False,True,1.0,Intel Core M,Intel Higher,Intel,SSD,0,0,0,128,128,Intel HD Graphics,Intel HD,Intel,Windows
531,Toshiba,Notebook,15.6,8GB,Windows 10,2.0,860.0,SATELLITE,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
303,Lenovo,Notebook,15.6,8GB,No OS,2.2,549.0,IDEAPAD,1366 x 768,1366,768,1049088,100.45466986113651,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,2000,0,0,0,2000,Nvidia GeForce,Nvidia GeForce,Nvidia,No OS
333,Lenovo,Notebook,15.6,4GB,Windows 10,1.85,449.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.0,Intel Core i3,Intel Core i3,Intel,HDD,1000,0,0,0,1000,Intel HD Graphics,Intel HD,Intel,Windows
950,HP,Workstation,15.6,8GB,Windows 10,2.0,2249.0,ZBOOK,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,8,8,Nvidia Quadro,Nvidia Quadro,Nvidia,Windows
1084,Dell,Notebook,15.6,8GB,Windows 10,2.18,750.0,VOSTRO,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1096,Dell,Notebook,15.6,8GB,Windows 10,2.36,638.8,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,AMD Radeon R7,AMD Radeon,AMD,Windows
815,Lenovo,Ultrabook,14.0,8GB,Windows 10,1.32,1859.0,THINKPAD,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1246,Dell,Notebook,14.0,4GB,Windows 10,1.6,875.0,LATITUDE,1366 x 768,1366,768,1049088,111.93520355955211,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
652,Dell,Ultrabook,13.3,8GB,Windows 10,1.2,1449.9,XPS,1920 x 1080,1920,1080,2073600,165.6321180513006,False,False,1.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel UHD Graphics,Intel UHD,Intel,Windows
1211,Asus,Notebook,15.6,16GB,Windows 10,2.2,1749.0,ASUS FX,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.8,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
298,Lenovo,Notebook,15.6,6GB,Windows 10,2.4,499.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.4,AMD A10-Series,AMD,AMD,HDD,1000,0,0,0,1000,AMD Radeon R5,AMD Radeon,AMD,Windows
1265,Lenovo,Notebook,15.6,8GB,Windows 10,2.6,899.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.6,Intel Core i7,Intel Higher,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
1072,HP,Ultrabook,12.5,8GB,Windows 7,1.26,1199.0,ELITEBOOK,1920 x 1080,1920,1080,2073600,176.23257360658386,False,False,2.3,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
319,Acer,Notebook,11.6,4GB,Windows 10,1.4,485.0,TRAVELMATE,1366 x 768,1366,768,1049088,135.0942111925629,False,False,1.6,Intel Pentium Quad Core,Intel Other,Intel,Flash,0,0,128,0,128,Intel HD Graphics,Intel HD,Intel,Windows
302,Lenovo,Notebook,17.3,6GB,Windows 10,2.8,649.0,IDEAPAD,1600 x 900,1600,900,1440000,106.11306214269258,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
308,Lenovo,Notebook,15.6,8GB,Windows 10,2.3,819.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
557,Lenovo,Notebook,17.3,6GB,Windows 10,2.8,949.0,IDEAPAD,1600 x 900,1600,900,1440000,106.11306214269258,False,False,2.7,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
977,Asus,2 in 1 Convertible,15.6,16GB,Windows 10,2.3,1799.0,ASUS Q,3840 x 2160,3840,2160,8294400,282.42399616439724,False,True,2.7,Intel Core i7,Intel Higher,Intel,Hybrid,2000,0,0,512,2512,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
131,Dell,Notebook,15.6,4GB,Windows 10,2.2,449.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.0,Intel Core i3,Intel Core i3,Intel,HDD,1000,0,0,0,1000,AMD Radeon R5,AMD Radeon,AMD,Windows
15,Apple,Ultrabook,13.3,8GB,macOS,1.37,1518.55,MACBOOK,2560 x 1600,2560,1600,4096000,226.98300468106115,True,False,2.3,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel Iris Plus Graphics,Intel Iris,Intel,Mac
1109,Asus,Gaming,15.6,16GB,Windows 10,2.59,1339.0,ROG,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.6,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
1015,Toshiba,Notebook,13.3,8GB,Windows 10,1.5,1210.0,PORTEGE,1366 x 768,1366,768,1049088,117.82653006268643,False,False,2.3,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1293,Lenovo,Notebook,15.6,8GB,Windows 10,2.6,899.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.6,Intel Core i7,Intel Higher,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
569,Lenovo,Notebook,14.0,4GB,Windows 10,2.02,990.0,THINKPAD,1366 x 768,1366,768,1049088,111.93520355955211,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
1086,HP,Workstation,15.6,8GB,Windows 7,1.9,1495.0,ZBOOK,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,AMD FirePro,AMD FirePro,AMD,Windows
187,Lenovo,Gaming,15.6,8GB,No OS,2.4,779.0,LEGION,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,No OS
191,Vero,Notebook,14.0,4GB,Windows 10,1.3,260.0,VERO K,1920 x 1080,1920,1080,2073600,157.3505121487356,True,False,1.1,Intel Celeron Dual Core,Intel Other,Intel,Flash,0,0,32,0,32,Intel HD Graphics,Intel HD,Intel,Windows
103,HP,Ultrabook,13.3,8GB,Windows 10,1.38,1119.0,ENVY,1920 x 1080,1920,1080,2073600,165.6321180513006,True,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
459,HP,Notebook,17.3,8GB,Windows 10,2.5,639.9,PAVILION,1600 x 900,1600,900,1440000,106.11306214269258,False,False,2.0,Intel Core i3,Intel Core i3,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
60,Dell,Notebook,17.3,16GB,Windows 10,2.8,1299.0,INSPIRON,1920 x 1080,1920,1080,2073600,127.33567457123111,False,False,1.8,Intel Core i7,Intel Higher,Intel,Hybrid,2000,0,0,256,2256,AMD Radeon,AMD Radeon,AMD,Windows
438,Lenovo,Ultrabook,14.0,24GB,Windows 10,1.32,2382.0,THINKPAD,2560 x 1440,2560,1440,3686400,209.8006828649808,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Intel HD Graphics,Intel HD,Intel,Windows
996,HP,Ultrabook,13.3,8GB,Windows 10,1.11,1349.0,SPECTRE,1920 x 1080,1920,1080,2073600,165.6321180513006,True,True,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
